,#,sex,item name,about,details,sizes,"price, $",colour,image_name,,
outwear,LV23018,men,Reversible Monogram windbreaker,This seasonal blue reversible windbreaker embodies the idea of ​​a dynamic lifestyle.,"100% polyamide Blue color Standard Fit

 "," s, m, l, xl",,blue,Reversible Monogram windbreakers 1.PNG Reversible Monogram windbreakers 1.PNG Reversible Monogram windbreakers 1.PNG Reversible Monogram windbreakers 1.PNG,,
outwear,LV23019,men,LV Multi-Tools Embroidered Jacket,"With a utilitarian aesthetic, the jacket is adorned with embroidered details in black and white, reflecting the key themes of the Spring-Summer 2023 collection.",100% organic cotton GOTS Certification Dark gray color Standard Fit," s, m, l, xl",,gray,LV Multi-Tools Embroidered Jacket 1.PNG LV Multi-Tools Embroidered Jacket 2.PNG LV Multi-Tools Embroidered Jacket 3.PNG LV Multi-Tools Embroidered Jacket 4.PNG,,
outwear,LV23020,men,Varsity Jacket,A varsity-style jacket crafted from cowhide with wool sleeves.,"100% cowhide Black color Standard Fit

 "," s, m, l, xl",,black,Varsity Jacket 1.PNG Varsity Jacket 2.PNG Varsity Jacket 3.PNG Varsity Jacket 4.PNG,,
outwear,LV23021,men,Boyhood Monogram Fringed Denim Jacket ,"This lavender denim jacket features bold, vintage-effect trim. ","100% cotton
Loose fit
"," s, m, l, xl",,pink,Boyhood Monogram Fringed Denim Jacket 1.PNG Boyhood Monogram Fringed Denim Jacket 2.PNG Boyhood Monogram Fringed Denim Jacket 3.PNG Boyhood Monogram Fringed Denim Jacket 4.PNG,,
outwear,LV23022,men,Monogram Tailored Denim Jacket,The Monogram Star embossed denim jacket gets a vintage-inspired edge with handcrafted trim. ,"99% cotton, 1% elastodiene"," s, m, l, xl",,grey,Monogram Tailored Denim Jacket 1.PNG Monogram Tailored Denim Jacket 2.PNG Monogram Tailored Denim Jacket 3.PNG,,
outwear,LV23023,men,Hybrid Hoodie Denim Jacket,  This hybrid blouson splices a washed denim hood and sleeves onto the compact cotton felpa,100% Cotton," s, m, l, xl",,green,Hybrid Hoodie 1AAGP81                  Hybrid Hoodie 1AAGP82                  Hybrid Hoodie 1AAGP83                  Hybrid Hoodie 1AAGP84,,
pants,LV23031,men,Utility Carpenter Jeans,Indigo Carpenter jeans are utilitarian. ,Regular Fit Carpenter," s, m, l, xl",,blue,Utility Carpenter Jeans.1 Utility Carpenter Jeans.2Utility Carpenter Jeans.3 Utility Carpenter Jeans.4,,
pants,LV23032,men,"Loose fit cargo trousers
",These trendy charcoal cotton cargo pants make for an eye-catching look for the weekend.,100% organic cotton," s, m, l, xl",,gray,Loose fit cargo trousers 1.PNG Loose fit cargo trousers 2.PNG Loose fit cargo trousers 3.PNG Loose fit cargo trousers 4.PNG,,
pants,LV23033,men,Wide-leg Carpenter jeans with fringes,Striking work-style jeans with bold details.,100% cotton," s, m, l, xl",,pink,Wide-leg Carpenter jeans with fringes 1.PNG Wide-leg Carpenter jeans with fringes 2.PNG Wide-leg Carpenter jeans with fringes 3.PNG Wide-leg Carpenter jeans with fringes 4.PNG,,
pants,LV23034,men,LV x YK Monogram Painted Dots Cargo Pants,The Louis Vuitton x Yayoi Kusama collection cargo pants feature a combination of Monogram jacquard and a dot print by acclaimed artist Yayoi Kusama. ,"71% recycled ECONYL® nylon, 29% cotton"," s, m, l, xl",,black,"LV x YK Monogram Painted Dots Cargo Pants 1.PNG
 LV x YK Monogram Painted Dots Cargo Pants 2.PNG 
LV x YK Monogram Painted Dots Cargo Pants 3.PNG 
LV x YK Monogram Painted Dots Cargo Pants 4.PNG",,
pants,LV23035,men,Joggers in high-tech fabric,"Crafted from high-tech fabric with a soft sheen effect, these joggers feature contrasting panel panels with a graphic monochrome LV Dove Houndstooth print. ","88% polyamide, 12% polyester"," s, m, l, xl",,black,Joggers in high-tech fabric 1 Joggers in high-tech fabric 2 Joggers in high-tech fabric 3,,
pants,LV23036,men,Monogram Tailored Jeans,The jeans feature a luxurious embossed Monogram pattern. ,"99% cotton, 1% elastodiene"," s, m, l, xl",,grey,Monogram Tailored Jeans 1.PNG Monogram Tailored Jeans 2.PNG Monogram Tailored Jeans 3.PNG,,
pants,LV23037,men,Jeans Baggy,These trendy loose-fit jeans are trimmed with a contrasting Monogram jacquard pattern.,"100% cotton Black color Croy buggy
"," s, m, l, xl",,black,Jeans LV 1.PNG Jeans LV 2.PNG Jeans LV 3.PNG Jeans LV 4.PNG,,
pants,LV23038,men,Vintage-effect wave-cut jeans,"A favorite of the Spring-Summer 2023 show, these trendy loose-fit jeans feature a distinctive wavy silhouette. ","100% cotton
Loose fit
"," s, m, l, xl",,blue,Vintage-effect wave-cut jeans 1.PNG Vintage-effect wave-cut jeans 2.PNG Vintage-effect wave-cut jeans 3.PNG Vintage-effect wave-cut jeans 4.PNG,,
pants,LV23039,men,Monogram jeans,Classic casual jeans with Monogram Pointillism characteristic of the new collection. ,"Standard Fit Monogram Pointillism Pattern

Classic back pockets 
"," s, m, l, xl",,blue,Monogram jeans 1.PNG Monogram jeans 2.PNG Monogram jeans 3.PNG Monogram jeans 4.PNG,,
t-shirt,LV23040,men,"""Monogram Gradient T-shirt
""","Crafted from lightweight cotton jersey, this T-shirt features a bold interpretation of the iconic Monogram Gradient pattern in a contrasting white palette.","Standard Fit
"," s, m, l, xl",,black,Monogram Gradient LVSE T-shirt 1.PNG Monogram Gradient LVSE T-shirt 2.PNG Monogram Gradient LVSE T-shirt 3.PNG,,
t-shirt,LV23041,men,"""Monogram Gradient T-shirt
""","Crafted from lightweight cotton jersey, this T-shirt features a bold interpretation of the iconic Monogram Gradient pattern in a contrasting white palette.","Standard Fit"," s, m, l, xl",,blue,Monogram Gradient LVSE T-shirt Blue 1.PNG Monogram Gradient LVSE T-shirt Blue 2.PNG Monogram Gradient LVSE T-shirt Blue 3.PNG Monogram Gradient LVSE T-shirt Blue 2.PNG,,
t-shirt,LV23042,men,"Monogram Gradient T-shirt
","Crafted from lightweight cotton jersey, this T-shirt features a bold interpretation of the iconic Monogram Gradient pattern in a contrasting white palette.","Standard Fit"," s, m, l, xl",,green,Monogram Gradient T-shirt Green 1.PNG Monogram Gradient T-shirt Green 2.PNG Monogram Gradient T-shirt Green 3.PNG Monogram Gradient T-shirt Green 4.PNG,,
t-shirt,LV23043,men,"Monogram Sporty V-neck T-shirt
",An American football-inspired T-shirt crafted from lightweight piqué cotton with a Monogram jacquard pattern.,"55% cotton, 45% polyester"," s, m, l, xl",,black,Monogram Sporty V-neck T-shirt 1.PNG Monogram Sporty V-neck T-shirt 2.PNG Monogram Sporty V-neck T-shirt 3.PNG Monogram Sporty V-neck T-shirt 4.PNG,,
t-shirt,LV23044,men,Organic cotton T-shirt,This stylish organic cotton T-shirt will add originality to your everyday look. ,Standard Fit," s, m, l, xl",,white,Organic cotton T-shirt 1.PNG Organic cotton T-shirt 2.PNG Organic cotton T-shirt 3.PNG Organic cotton T-shirt 4.PNG,,
t-shirt,LV23045,men,"LV Jazz Flyers T-shirt
","The graphic tee features a silk-screened LV Jazz Flyer print. The spectacular pattern is based on bright concert posters, complemented by symbols of the House.",," s, m, l, xl",,white,LV Jazz Flyers T-shirt 1.PNG LV Jazz Flyers T-shirt 2.PNG LV Jazz Flyers T-shirt 3.PNG LV Jazz Flyers T-shirt 4.PNG,,
t-shirt,LV23046,men,T-shirt with LV Spread embroidery,"The classic T-shirt is embroidered with contrasting miniature initials L and V, recreating the contours of the iconic large LV initials. ", 100% cotton Standart Fit," s, m, l, xl",,black,T-shirt with LV Spread embroidery 1.PNG T-shirt with LV Spread embroidery 2.PNG T-shirt with LV Spread embroidery 3.PNG T-shirt with LV Spread embroidery 4.PNG,,
t-shirt,LV23047,men,T-shirt with LV Concert print,A soft black t-shirt with a relaxed shoulder line is decorated with a monochrome silkscreen print. ,100% cotton Standart Fit," s, m, l, xl",,black,T-shirt with LV Concert print 1.PNG T-shirt with LV Concert print 2.PNG T-shirt with LV Concert print 3.PNG T-shirt with LV Concert print 4.PNG,,
t-shirt,LV23048,men,"T-shirt with LV Pendant embroidery
",Embroidered initials LV in a unique interpretation this season is the main decoration of a stylish T-shirt. ,"Loose fit 100% cotton

"," s, m, l, xl",,white,T-shirt with LV Pendant embroidery 1.PNG T-shirt with LV Pendant embroidery 2.PNG T-shirt with LV Pendant embroidery 3.PNG T-shirt with LV Pendant embroidery 4.PNG,,
t-shirt,LV23049,men,"T-shirt with print
","A classic T-shirt with a regular fit, made from lightweight cotton. "," ""Loose fit 100% cotton

"""," s, m, l, xl",,white,T-shirt with print 1.PNG T-shirt with print 2.PNG T-shirt with print 3.PNG T-shirt with print 4.PNG,,
t-shirt,LV23050,men,"T-shirt with print and embroidery
","Introduced by Virgil Abloh, a simple cotton T-shirt is a tribute to the Maison of Louis Vuitton. ","100% cotton Standard Fit

"," s, m, l, xl",,white,T-shirt with print and embroidery 1.PNG T-shirt with print and embroidery 2.PNG T-shirt with print and embroidery 3.PNG T-shirt with print and embroidery 4.PNG,,
t-shirt,LV23051,men,"T-shirt with Rainbow print
",A loose-fitting T-shirt with a ribbed finish is a must-have for a carefree summer look. ,100% cotton," s, m, l, xl",,white,T-shirt with Rainbow print 1.PNG T-shirt with Rainbow print 2.PNG T-shirt with Rainbow print 3.PNG T-shirt with Rainbow print 4.PNG,,
t-shirt,LV23052,men,"LV x YK Psychedelic Flower Tee
","A collaboration between the Maison and Japanese artist Yayoi Kusama, this classic Louis Vuitton t-shirt is uniquely reimagined","100% cotton Standard Fit

"," s, m, l, xl",,white,LV x YK Psychedelic Flower Tee 1.PNG LV x YK Psychedelic Flower Tee 2.PNG LV x YK Psychedelic Flower Tee 3.PNG LV x YK Psychedelic Flower Tee 4.PNG,,
t-shirt,LV23053,men,T-shirt with LV Frequency embroidery,"Both sides of the stylish black T-shirt are decorated with a contrasting LV Frequency pattern, which has become a symbol of the new collection. ",100% cotton Standart Fit," s, m, l, xl",,black,T-shirt with LV Frequency embroidery 1.PNG T-shirt with LV Frequency embroidery 2.PNG T-shirt with LV Frequency embroidery 3.PNG T-shirt with LV Frequency embroidery 4.PNG,,
t-shirt,LV23054,men,T-shirt with intarsia,"Inspired by the cinematography of the Fall/Winter 2023 runway collection, this soft cotton t-shirt features a white graphic with a Louis Vuitton Studios ","Standard Fit
"," s, m, l, xl",,black,T-shirt with intarsia 1.PNG T-shirt with intarsia 2.PNG T-shirt with intarsia 3.PNG T-shirt with intarsia 4.PNG,,
t-shirt,LV23055,men,"T-shirt with beaded embroidery

",The black T-shirt continues the key theme of the Fall-Winter 2023 show. ,"Classic fit"," s, m, l, xl",,black,T-shirt with beaded embroidery 1.PNG T-shirt with beaded embroidery 2.PNG T-shirt with beaded embroidery 3.PNG T-shirt with beaded embroidery 4.PNG,,
t-shirt,LV23056,men,"Vuitton Snow T-shirt in hi-tech jersey
","Crafted from breathable, high-tech jersey, this slim-fit t-shirt features a striking pattern of Vuitton signatures and Monogram colors. ","80% polyester, 20% elastane"," s, m, l, xl",,blue,Vuitton Snow T-shirt in hi-tech jersey 1.PNG Vuitton Snow T-shirt in hi-tech jersey 2.PNG Vuitton Snow T-shirt in hi-tech jersey 3.PNG Vuitton Snow T-shirt in hi-tech jersey 2.PNG,,
t-shirt,LV23057,men,"T-shirt signed Louis Vuitton 1854
",A lightweight cotton T-shirt with a contrasting intarsia pattern made from high-tech neon-effect yarns. The date 1854 and the Louis Vuitton signature are the hallmarks of the Maison. ,"89% cotton, 11% polyamide
"," s, m, l, xl",,black,T-shirt signed Louis Vuitton 1854 1.PNG T-shirt signed Louis Vuitton 1854 2.PNG T-shirt signed Louis Vuitton 1854 3.PNG T-shirt signed Louis Vuitton 1854 4.PNG,,
t-shirt,LV23058,men,T-shirt with embroidered signature 1,"A stylized Louis Vuitton signature embroidered with beads adorns the milky white T-shirt. 

","Standard Fit
"," s, m, l, xl",,white,T-shirt with embroidered signature 1 T-shirt with embroidered signature 2 T-shirt with embroidered signature 3 T-shirt with embroidered signature 4,,
t-shirt,LV23059,men,T-shirt with embossed LV initials,The basic wardrobe item is presented in a new original interpretation. ,"100% cotton Standard Fit
"," s, m, l, xl",,blue,T-shirt with embossed LV initials blue 1 T-shirt with embossed LV initials blue 2 T-shirt with embossed LV initials blue 3 T-shirt with embossed LV initials blue 4,,
t-shirt,LV23060,men,T-shirt with embossed LV initials,The basic wardrobe item is presented in a new original interpretation. ,"100% cotton Standard Fit
"," s, m, l, xl",,black,T-shirt with embossed LV initials white black 1 T-shirt with embossed LV initials white black 2 T-shirt with embossed LV initials white black 3 T-shirt with embossed LV initials white black 4,,
t-shirt,LV23061,men,"T-shirt with embossed LV initials
",The basic wardrobe item is presented in a new original interpretation. ,"""100% cotton Standard Fit
"""," s, m, l, xl",,white,T-shirt with embossed LV initials white 1 T-shirt with embossed LV initials white 2 T-shirt with embossed LV initials white 3 T-shirt with embossed LV initials white 4,,
t-shirt,LV23062,men,"T-shirt with embossed LV initials
",The basic wardrobe item is presented in a new original interpretation. ,"100% cotton Standard Fit
"," s, m, l, xl",,blue,T-shirt with embossed LV initials dark 1 T-shirt with embossed LV initials dark 2 T-shirt with embossed LV initials dark 3 T-shirt with embossed LV initials dark 4,,
,,,,,,,,,,,
,,,,,,,,,,,
knitwear,31,,"Fair Isle Macro LV Pullover
",This luxurious pullover is made from sustainable merino wool. ,"100% wool

Standard Fit
"," s, m, l, xl",,multicolour,Fair Isle Macro LV Pullover 1 Fair Isle Macro LV Pullover 2 Fair Isle Macro LV Pullover 3 Fair Isle Macro LV Pullover 4,,
,,,"LV Jazz logo hoodie
",Stylish hoodie made of cotton fleece with a zip fastening and classic voluminous pockets. ,"100% cotton Classic fit

"," s, m, l, xl",,black,LV Jazz logo hoodie 1 LV Jazz logo hoodie 2 LV Jazz logo hoodie 3 LV Jazz logo hoodie 4,,
,,,"Louis Vuitton cuffed cashmere pullover
",This classic round neck pullover is crafted from soft cashmere. ,"100% cashmere
Standard Fit
"," s, m, l, xl",,black,Louis Vuitton cuffed cashmere pullover b1 Louis Vuitton cuffed cashmere pullover b2 Louis Vuitton cuffed cashmere pullover b3 Louis Vuitton cuffed cashmere pullover b4,,
,,,"Louis Vuitton cuffed cashmere pullover
",This classic round neck pullover is crafted from soft cashmere. ,"100% cashmere
Standard Fit
"," s, m, l, xl",,gray,Louis Vuitton cuffed cashmere pullover 1 Louis Vuitton cuffed cashmere pullover 2 Louis Vuitton cuffed cashmere pullover 3 Louis Vuitton cuffed cashmere pullover 4,,
,,,"Louis Vuitton cuffed cashmere pullover
",This classic round neck pullover is crafted from soft cashmere. ,"100% cashmere
Standard Fit
"," s, m, l, xl",,green,Louis Vuitton cuffed cashmere pullover g1 Louis Vuitton cuffed cashmere pullover g2 Louis Vuitton cuffed cashmere pullover g3 Louis Vuitton cuffed cashmere pullover g4,,
,,,"LV Fair Isle Stripes Track Jacket
",The trendy blazer features brightly colored sleeve panels in a shimmering LV Fair Isle Stripes jacquard pattern. ,," s, m, l, xl",,,LV Fair Isle Stripes Track Jacket 1 LV Fair Isle Stripes Track Jacket 2 LV Fair Isle Stripes Track Jacket 3 LV Fair Isle Stripes Track Jacket 4,,
,,,"Zipped hoodie with embroidered LV initials
",A vibrant jacquard hoodie delights with a Tie & Dye gradient effect. Cotton drawstring hood lined with lightweight jersey.,"50% cotton, 50% polyamide Standard Fit

"," s, m, l, xl",,blue,"Zipped hoodie with embroidered LV initials1 Zipped hoodie with embroidered LV initials2 Zipped hoodie with embroidered LV initials3 Zipped hoodie with embroidered LV initials4




",,
,,,"Sweatshirt with LV Comics Owl logo

",Cozy organic cotton sweatshirt with exceptional softness.,"100% cotton Standard Fit

"," s, m, l, xl",,black,"Sweatshirt with LV Comics Owl logo1 Sweatshirt with LV Comics Owl logo2 Sweatshirt with LV Comics Owl logo3 Sweatshirt with LV Comics Owl logo4






 ",,
,,,"LV x YK Psychedelic Flower Pattern Zip Hoodie
","Exclusive to Louis Vuitton x Yayoi Kusama, this zip-up hoodie features the signature Psychedelic Flower pattern. ","95% wool, 5% polyamide Standard Fit

"," s, m, l, xl",,black,"LV x YK Psychedelic Flower Pattern Zip Hoodie1 LV x YK Psychedelic Flower Pattern Zip Hoodie2 LV x YK Psychedelic Flower Pattern Zip Hoodie3 LV x YK Psychedelic Flower Pattern Zip Hoodie4





",,
,,,"Monogram Gradient Textured Sweatshirt
",A classic cotton fleece sweatshirt is accented with a textured Monogram pattern with a gradient effect. ,"100% cotton Classic fit

"," s, m, l, xl",,black,Снимок.PNGMonogram Gradient Textured Sweatshirt 1 Снимок.PNGMonogram Gradient Textured Sweatshirt 2 Снимок.PNGMonogram Gradient Textured Sweatshirt 3 Снимок.PNGMonogram Gradient Textured Sweatshirt 4,,
,,,Hybrid Cotton Cardigan,This sporty cardigan from this collection’s desert bike race can be worn as light outer layer,"82% Cotton, 18% Polyamide","s, m, l, xl",,black,Cardigan1ABJ1G1                       Cardigan1ABJ1G2                       Cardigan1ABJ1G3                       Cardigan1ABJ1G4,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
footwear,41,,LV Skate sneakers ,First seen at the Fall Winter 2022 show,Grained Calfskin,39-46,,Blue,LV Skate 1ABZ6X1                      LV Skate 1ABZ6X2                      LV Skate 1ABZ6X3                      LV Skate 1ABZ6X4                      LV Skate 1ABZ6X5,,
,,,LV Skate sneakers,First seen at the Fall Winter 2022 show,Grained Calfskin,39-46,,"
red",LV Skate 1ABZ6E1                      LV Skate 1ABZ6E2                      LV Skate 1ABZ6E3                      LV Skate 1ABZ6E4                      LV Skate 1ABZ6E5,,
,,,LV Skate sneakers,First seen at the Fall Winter 2022 show,Grained Calfskin,39-46,,White,LV Skate 1ABZ5U1                      LV Skate 1ABZ5U2                      LV Skate 1ABZ5U3                      LV Skate 1ABZ5U4                      LV Skate 1ABZ5U5,, 
,,,LV Skate sneakers,First seen at the Fall Winter 2022 show,Grained Calfskin,39-46,,Black,LV Skate 1ABZ581                      LV Skate 1ABZ582                      LV Skate 1ABZ583                      LV Skate 1ABZ584                      LV Skate 1ABZ585,,
,,,LV Trainer sneakers,The new version of the LV Trainer features a combination of smooth and grained calfskin.,Grained Calfskin,39-46,,White,LV Trainer 1A8WAX1                      LV Trainer 1A8WAX2                     LV Trainer 1A8WAX3                     LV Trainer 1A8WAX4,,
,,,LV Trainer sneakers,"For the new season, the iconic LV ",Grained Calfskin,39-46,,Black ,LV Trainer 1A9JG91                       LV Trainer 1A9JG92                      LV Trainer  1A9JG93                       LV Trainer  1A9JG94,,
,,,LV Trainer sneakers,"In supple leather, the LV Trainer sneaker is featured in the Rainbow ",Grained Calfskin,39-46,,White,LV Trainer 1A9G511                       LV Trainer 1A9G512                       LV Trainer 1A9G513                       LV Trainer 1A9G514,,
,42,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,39-46,,blue,LV Trainer 1ABFA81                       LV Trainer 1ABFA82                       LV Trainer 1ABFA83                       LV Trainer 1ABFA84,,
,43,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,39-46,,Green,LV Trainer 1ABFAS1                       LV Trainer 1ABFAS2                       LV Trainer 1ABFAS3                       LV Trainer 1ABFAS4,,
,44,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,39-46,,Red,LV Trainer 1ABFBE1                       LV Trainer 1ABFBE2                       LV Trainer 1ABFBE3                       LV Trainer 1ABFBE4,,
,45,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,39-46,,Blue,LV Trainer 1A9JGT1                       LV Trainer 1A9JGT2                       LV Trainer 1A9JGT3                       LV Trainer 1A9JGT4,,
,46,,LV Trainer sneakers,The current version of the LV Trainer,Grained Calfskin,39-46,,green,LV Trainer 1ABLVU1                       LV Trainer 1ABLVU2                       LV Trainer 1ABLVU3                       LV Trainer 1ABLVU4,,
,47,,LV Trainer sneakers,The current version of the LV Trainer,Grained Calfskin,39-46,,brown,LV Trainer 1ABLV81                        LV Trainer 1ABLV82                        LV Trainer 1ABLV83                       LV Trainer 1ABLV84,,
,48,,LV Trainer sneakers,The current version of the LV Trainer,Grained Calfnski,39-46,,Blue,LV Trainer 1ABLUO1                        LV Trainer 1ABLUO2                        LV Trainer 1ABLUO3                        LV Trainer 1ABLUO4,,
,49,,LV Skate sneakers ,The LV Skate sneakers are presented in a new exclusive version of grained leather,Grained Calfskin,39-46,,Grey,LV Skate 1ABZ4Q1                      LV Skate 1ABZ4Q2                      LV Skate 1ABZ4Q3                      LV Skate 1ABZ4Q4                      LV Skate 1ABZ4Q5,,
,50,,LV Skate sneakers ,The LV Skate sneakers are presented in a new exclusive version of grained leather,Grained Calfskin,39-46,,Anthracite,LV Skate 1ABZ461                      LV Skate 1ABZ462                      LV Skate 1ABZ463                      LV Skate 1ABZ464                      LV Skate 1ABZ465,,
,,,LV Trainer Maxi,Showcased at the Men's Spring/Summer 2023 Fashion Show,Combination of materials,39-46,,Black,LV Trainer Maxi 1ABZQ91         LV Trainer Maxi 1ABZQ92         LV Trainer Maxi 1ABZQ93         LV Trainer Maxi 1ABZQ94,,
,,,                           LV Trainer Maxi,"Showcased at the Men's Spring/Summer 2023 Fashion Show, ",Combination of materials,39-46,,blue,LV Trainer Maxi 1ABZPU1         LV Trainer Maxi 1ABZPU2         LV Trainer Maxi 1ABZPU3         LV Trainer Maxi41ABZPU4,,
,,,                               LV Trainer Maxi,Showcased at the Spring Summer 2023 show,Combination of materials,39-46,,orange,LV Trainer Maxi 1AB8SX1         LV Trainer Maxi 1AB8SX2         LV Trainer Maxi 1AB8SX3         LV Trainer Maxi 1AB8SX4,,
,,,                            LV Trainer Maxi,Showcased at the Spring Summer 2023 show,Combination of materials,39-46,,white,LV Trainer Maxi 1AB8RO1         LV Trainer Maxi 1AB8RO2         LV Trainer Maxi 1AB8RO3,,
,,,                              LV Trainer sneakers ,The Monogram denim LV Trainer sneakers are a colorful take on vintage basketball shoes. ,Denim,39-46,,green,LV Trainer 1ABLY21                  LV Trainer 1ABLY22                  LV Trainer 1ABLY23                  LV Trainer 1ABLY24,,
,,,                               LV Trainer sneakers ,The Monogram denim LV Trainer sneakers are a colorful take on vintage basketball shoes. ,Denim,39-46,,red,LV Trainer 1ABLXJ1                  LV Trainer 1ABLXJ2                  LV Trainer 1ABLXJ3                  LV Trainer 1ABLXJ4,,
